beer_name,alcohol,brewed_with,description
Heels to Jesus,5,Belgian Yeast & Kiwi Hops,"From the sacred to the profane. Heels to Jesus, a monastic style transposed to the iniquitous and colourful setting of Marion St. Brewed as a pure, unadulterated ale using Belgian yeasts and Kiwi hops, the contents of this bottle are changing, even as you hold it in your hand. At the moment of packaging each bottle was spiked with live Brettanomyces beginning a process whereby these funky and tenacious yeasts will change the flavour of the beer within.Drink it fresh from packaging to experience it in its pure, original form, then try it again as the months pass to be taken on a unique and unpredictable journey of transformation. Amen. Wild Workshop At Garage Project we’ve always liked pushing boundaries, reinterpreting styles and challenging the notions of what beer can be. Welcome to Marion Street, our new playground, hidden away in one of the most colourful corners of Wellington. It’s a workshop, a place where we’re free to play with wild and wonderful ways of fermenting, to push the boundaries even further. We’re here to try something new. Just like you. "
Hellbender,11.2,A Tonne of Malt and a Mountain of U.S. Hops,"You are about to be tested. Hellbender is a leviathan of a beer made with over a tonne of malt and a mountain of American hops. You know it would taste great right now, but a beer this big will only get better with age. What will it taste like in a year? Two years? More? Will you ever get to find out or will it be too much for you? Can you delay the gratification, or will you yield to temptation? Which will it be? Your time starts now."
Hop Trial No. 4,7.8,Brand Spanking New Hops,"An experimental NZIPA with tropical fruit notes, brewed especially for the Smith's NZ IPA Challenge in Queenstown in June 2017. Made with a never before released hop variety, this is as exclusive as it gets."
Hops on Pointe,6.7,Nelson Sauvin,"Beer and ballet - an unusual Pas de Deux. Brewed by Garage Project for the Royal New Zealand Ballet, Hops on Pointe teases the boundaries between high and low culture.Brewed with premium German malts, Nelson Sauvin hops and finished with a champagne yeast, the result is a pale gold lager with a crisp, clean palate, rich tropical fruit aromas and tight champagne bubbles.Available at all good barres."
L'il Red Rye,6.8,"Rye, Simcoe, Amarillo Hops","Who's afraid of the big bad wolf? Humulus Lupulus, the wolf bine can be fierce, but L'il Red Rye, the grain at the heart of this beer, has more than enough character to run with the wolves. Amarillo and Simcoe hops combine with the earthy spice of rye, and richness of Munich and caramel malts to create a beer that is well worth a short cut through the woods."
La Calavera Catrina,6.9,"Maize, Habanero Chilli, Watermelon, Rose Water","La Calavera Catrina, The Elegant Skull. The little sister to our original dead head is as blonde as Day of the Dead is dark, but don't be fooled, she's no lightweight. Brewed with maize, an ingredient you'd normally associate with much blander lager offerings, Catrina is fired up with an assertive chili heat from a generous addition of Habaneros, and spiked with rose water and yes - watermelon. The result is cheeky, complex and fiery - what more could you want in the Lady of Death?
 
The elegant skull helps us remember that ""Death brings this neutralizing force; everyone is equal in the end. This was the driving force behind brewing this beer, come celebrate and rejoice in cycle of life and death with us."
Lack of Faith,7.5,Bitterness and Power,"Give yourself to the dark side. Lack Of Faith Black IPA - the colour of space with all the bitterness and powerful hop aroma of its lighter sibling. Only at the end do you notice the power of the dark side as it finishes clean and dry without the heavy roast character of a stout or porter. Do you doubt us? We find your lack of faith disturbing. 
Originally brewed for Golding's Freedive 'May The 4th Be With You' 2015."
Lola,5.5,"Citrus, Spices, Cola Nuts, Vanilla and Whole Sour Cherries","Things are not always what they seem. Lola, cherry cola dunkel, a boundary bending, trans-style take on the classic German dark lager. Spiked with citrus, spices, cola nuts, vanilla and whole sour cherries, the result is a rich dark brown, effervescent and refreshing brew somewhere ambiguously between beer and a classic soda. It's a mixed up, muddled up, shook up world, but it's all the more enjoyable for it. Brewed using 100% ethically sourced, fair trade cola nuts from our friends at Karma Cola. Cheers!"
Loral Royale,5.6,Loral Hops,"Buy the Ticket, take the ride. Loral Royale, a lupulin fuelled trip to resinous soul of the American IPA. Extravagantly dry hopped with newly released US hop Loral, this is a dangerously drinkable IPA with a malt bill that delivers light caramel notes backed up with a juicy, floral citrus hop punch. Remember… Good people drink good beer - Hunter S. Thompson"
Los Lobos,8,"Simcoe, Citrus, Amarillo","Los Lobos, 'the wolves' in Spanish, a California road trip inspired tribute to America's finest varieties of humulus lupulus. Simcoe, Amarillo and Citra, the holy hop trinity, shine through in a Golden State IPA of lush aroma and beguiling balance."
